S(t),r,q,DTM,X,Option Price
1137.14,6.82445E-06,5.69668E-05,43,1090,57.53
1137.14,6.82445E-06,5.69668E-05,43,1085,61.53
1137.14,6.82445E-06,5.69668E-05,43,1080,65.62
1137.14,6.82445E-06,5.69668E-05,43,1075,69.72
1137.14,6.82445E-06,5.69668E-05,43,1070,74.07
1137.14,6.82445E-06,5.69668E-05,43,1065,78.32
1137.14,6.82445E-06,5.69668E-05,43,1060,82.62
1137.14,6.82445E-06,5.69668E-05,43,1055,87.07
1137.14,6.82445E-06,5.69668E-05,43,1050,91.52
1137.14,6.82445E-06,5.69668E-05,43,1045,96.01
1137.14,6.82445E-06,5.69668E-05,43,1040,100.61
1137.14,6.82445E-06,5.69668E-05,43,1035,105.21
1137.14,7.22069E-06,5.69668E-05,71,1250,2.43
1137.14,7.22069E-06,5.69668E-05,71,1240,3.20
1137.14,7.22069E-06,5.69668E-05,71,1235,3.70
1137.14,7.22069E-06,5.69668E-05,71,1230,4.30
1137.14,7.22069E-06,5.69668E-05,71,1225,5.00
1137.14,7.22069E-06,5.69668E-05,71,1200,9.75
1137.14,7.22069E-06,5.69668E-05,71,1195,11.05
1137.14,7.22069E-06,5.69668E-05,71,1175,17.25
1137.14,7.22069E-06,5.69668E-05,71,1170,19.15
1137.14,7.22069E-06,5.69668E-05,71,1160,23.35
1137.14,7.22069E-06,5.69668E-05,71,1150,27.90
1137.14,7.22069E-06,5.69668E-05,71,1140,33.15
1137.14,7.22069E-06,5.69668E-05,71,1135,36.18
1137.14,7.22069E-06,5.69668E-05,71,1130,39.03
1137.14,7.22069E-06,5.69668E-05,71,1125,42.03
1137.14,7.22069E-06,5.69668E-05,71,1120,45.12
1137.14,7.22069E-06,5.69668E-05,71,1115,48.27
1137.14,7.22069E-06,5.69668E-05,71,1110,51.57
1137.14,7.22069E-06,5.69668E-05,71,1105,54.97
1137.14,7.22069E-06,5.69668E-05,71,1100,58.46
1137.14,7.22069E-06,5.69668E-05,71,1085,69.46
1137.14,7.22069E-06,5.69668E-05,71,1080,73.25
1137.14,7.22069E-06,5.69668E-05,71,1075,77.15
1137.14,7.22069E-06,5.69668E-05,71,1070,81.05
1137.14,7.22069E-06,5.69668E-05,71,1065,85.05
1137.14,7.22069E-06,5.69668E-05,71,1060,89.14
1137.14,7.22069E-06,5.69668E-05,71,1055,93.24
1137.14,7.22069E-06,5.69668E-05,71,1050,97.44
1137.14,7.22069E-06,5.69668E-05,71,1045,101.64
1137.14,7.60199E-06,5.69668E-05,99,1250,5.30
1137.14,7.60199E-06,5.69668E-05,99,1240,6.80
1137.14,7.60199E-06,5.69668E-05,99,1230,8.50
1137.14,7.60199E-06,5.69668E-05,99,1225,9.45
1137.14,7.60199E-06,5.69668E-05,99,1220,10.50
1137.14,7.60199E-06,5.69668E-05,99,1210,12.95
1137.14,7.60199E-06,5.69668E-05,99,1200,15.65
1137.14,7.60199E-06,5.69668E-05,99,1180,22.45
1137.14,7.60199E-06,5.69668E-05,99,1175,24.35
1137.14,7.60199E-06,5.69668E-05,99,1170,26.45
1137.14,7.60199E-06,5.69668E-05,99,1160,30.80
1137.14,7.60199E-06,5.69668E-05,99,1150,35.70
1137.14,7.60199E-06,5.69668E-05,99,1125,49.29
1137.14,7.60199E-06,5.69668E-05,99,1100,65.27
1137.14,7.60199E-06,5.69668E-05,99,1075,83.10
1137.14,7.60199E-06,5.69668E-05,99,1050,102.48
1137.14,9.04811E-06,5.69668E-05,162,1250,13.60
1137.14,9.04811E-06,5.69668E-05,162,1230,18.40
1137.14,9.04811E-06,5.69668E-05,162,1220,21.30
1137.14,9.04811E-06,5.69668E-05,162,1210,24.45
1137.14,9.04811E-06,5.69668E-05,162,1200,27.90
1137.14,9.04811E-06,5.69668E-05,162,1190,31.65
1137.14,9.04811E-06,5.69668E-05,162,1180,35.70
1137.14,9.04811E-06,5.69668E-05,162,1150,49.65
1137.14,9.04811E-06,5.69668E-05,162,1125,63.69
1137.14,9.04811E-06,5.69668E-05,162,1100,78.96
1137.14,9.04811E-06,5.69668E-05,162,1075,95.67
1137.14,9.04811E-06,5.69668E-05,162,1050,113.68
